date,comment
2020. 4. 29.,"???:훠훠훠 줘도 숸퉥줙 반윌인뒈요
줘도 궁민여러분둘에게 봔일 숸동 했쥐만
줘눈 일본 av 보면셔 똴 취눈궤 너무 죻아요"
2020. 4. 29.,대한민국 개돼지들이 원래 줄서는거 좋아하죠 저중에 대깨문 반일운동한색기들 없을까요 왜 대꺠문과 반일운동하는색기들이 사러와서 일반구매자가 줄서야 되나요
2020. 4. 29.,어이 대깨문 문재인 딱갈이
2020. 4. 29.,반중운동!
2020. 4. 29.,불매운동하가가 나라경제 망친다.
2020. 4. 29.,정부지원금 우리후손이 미래에 갚아야할 빚인거같은데 여기관련해서 영상하나 만들어주시면 감사하겠습니다
2020. 4. 29.,에휴.... 그럼그렇지...
2020. 4. 29.,인천에 우파시민이 많남 ㅎㅎ?
2020. 4. 29.,특히 루리웹 애들은 말할것도 없지
2020. 4. 29.,"불매운동,선택적 불매운동 하자는건 딱히 신경안씀 자기 마음이니. 근데 진짜 개 때리고 싶은놈이 누구냐면 내가 일본필기구 살려고하면 ""니 매국노냐 왜 일본꺼 쓰냐""거렸던 새끼가 동물에숲 사면서 ""헤헷 이건 선택적 불매운동이니 나는 애국자야""거리면 그땐 ㄹㅇ 국밥 뚝배기로 머가리 개때려야지. 
근데 솔직히 말하면 인간이란게 자기한텐 한없이 관대하기때문에 선택적불매운동 하는사람도 결국엔 일본 제품 많이 쓰게됨. 그래서 난 처음부터 불매운동하자고 유별나게 말할때부터 불매운동 무조건 실패한다고 생각하고 남들 유니클로 안사서 세일할때 혼자서 개꿀빨았음.(이게 진정한 인간승리가 아닌가?)"
2020. 4. 29.,👍👍👍🍀🍀🍀🍎🍊🍊🥝🥝🍓🥭🍒🍉🍉🍇
2020. 4. 29.,"한국은 일본제품 필요하면 써야죠
애니 게임기 옷 일본제품업이 생활할수가 있나?
근데 일본은 한국제품 예전부터
사용안함 하다못해 삼성 핸드폰도 사용 잘 안함"
2020. 4. 29.,사람들은 아가리로 반일외치지만 행동으론 안하지
2020. 4. 29.,"중국 제품만 빼고 다 좋아요.
다이소에서도 중국제품 많긴 하지만
신경써서 찾으면 우리것 일본것 아주 품질 좋아요"
2020. 4. 29.,유니클로
2020. 4. 29.,아사히맥주 사먹을려고 편의점갔더만 안팔드라 그래놓고 불매운동 성공이라네?
